SITE_CODE,SHORT_TITLE,TITLE,STAGE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,EXTRACT_DATE
S0004221,Paddys Flat UG,Paddys Flat Underground,Operating,Cue Gold - Central Murchison,118.508598,-26.60535,650205,7056389,50,Au Ag,Precious metal,GOLD,20221018
S0004297,Riverina Pit,Riverina Openpit,Operating,Davyhurst - Lady Ida - Mulline - Riverina - Siberia Gold,120.564972,-29.744602,264511,6707030,51,Au Ag,Precious metal,GOLD,20221018
S0004301,Jaurdi,Jaurdi,Operating,Jaurdi - Cammi's Creek,120.925003,-30.688709,301247,6603059,51,Au Ag,Precious metal,GOLD,20221018
S0004348,28 Pit,28 Pit - SBS28,Operating,South Kalgoorlie Operations,121.246201,-30.963989,332496,6573070,51,Au Ag,Precious metal,GOLD,20221018
S0004460,Goldstream,Goldstream,Operating,Marda / Southern Cross,119.280587,-30.202968,719537,6656525,50,Au Ag,Precious metal,GOLD,20221018
S0004462,Cobra,Cobra - Marda,Operating,Marda / Southern Cross,119.247803,-30.19342,716401,6657646,50,Au Ag,Precious metal,GOLD,20221018
S0004468,King Brown,King Brown - Marda,Operating,Marda / Southern Cross,119.119377,-30.116279,704194,6666434,50,Au Ag,Precious metal,GOLD,20221018
S0004505,Golden Delicious,Golden Delicious,Operating,Sunrise Dam,122.459342,-29.013648,447346,6790382,51,Au Ag,Precious metal,GOLD,20221018
S0004551,Great Fingall Pit,Great Fingall Openpit,Operating,Cue Gold - Central Murchison,117.85805,-27.461048,584783,6962204,50,Au Ag,Precious metal,GOLD,20221018
S0004791,Darlot UG,Darlot Underground,Operating,Darlot,121.268898,-27.887529,329603,6914052,51,Au Ag,Precious metal,GOLD,20221018
S0004877,Santa,Santa,Operating,Randalls - Mt Monger,122.209736,-31.040615,424587,6565628,51,Au Ag,Precious metal,GOLD,20221018
S0004886,Janet Ivy,Janet Ivy,Operating,Binduli,121.383328,-30.774467,345291,6594275,51,Au Ag,Precious metal,GOLD,20221018
S0004927,Maid Marion,Maid Marion - Meekatharra North,Operating,Cue Gold - Central Murchison,118.5933,-26.46312,658836,7072043,50,Au Ag,Precious metal,GOLD,20221018
S0004954,Moonbeam,Moonbeam,Operating,Kundana - White Flag,121.243797,-30.7213,331844,6599968,51,Au Ag,Precious metal,GOLD,20221018
